start,end,F0final_sma_de,voicingFinalUnclipped_sma_de,jitterLocal_sma_de,jitterDDP_sma_de,shimmerLocal_sma_de,logHNR_sma_de,audspec_lengthL1norm_sma_de,audspecRasta_lengthL1norm_sma_de,pcm_RMSenergy_sma_de,pcm_zcr_sma_de,audSpec_Rfilt_sma_de[0],audSpec_Rfilt_sma_de[1],audSpec_Rfilt_sma_de[2],audSpec_Rfilt_sma_de[3],audSpec_Rfilt_sma_de[4],audSpec_Rfilt_sma_de[5],audSpec_Rfilt_sma_de[6],audSpec_Rfilt_sma_de[7],audSpec_Rfilt_sma_de[8],audSpec_Rfilt_sma_de[9],audSpec_Rfilt_sma_de[10],audSpec_Rfilt_sma_de[11],audSpec_Rfilt_sma_de[12],audSpec_Rfilt_sma_de[13],audSpec_Rfilt_sma_de[14],audSpec_Rfilt_sma_de[15],audSpec_Rfilt_sma_de[16],audSpec_Rfilt_sma_de[17],audSpec_Rfilt_sma_de[18],audSpec_Rfilt_sma_de[19],audSpec_Rfilt_sma_de[20],audSpec_Rfilt_sma_de[21],audSpec_Rfilt_sma_de[22],audSpec_Rfilt_sma_de[23],audSpec_Rfilt_sma_de[24],audSpec_Rfilt_sma_de[25],pcm_fftMag_fband250-650_sma_de,pcm_fftMag_fband1000-4000_sma_de,pcm_fftMag_spectralRollOff25.0_sma_de,pcm_fftMag_spectralRollOff50.0_sma_de,pcm_fftMag_spectralRollOff75.0_sma_de,pcm_fftMag_spectralRollOff90.0_sma_de,pcm_fftMag_spectralFlux_sma_de,pcm_fftMag_spectralCentroid_sma_de,pcm_fftMag_spectralEntropy_sma_de,pcm_fftMag_spectralVariance_sma_de,pcm_fftMag_spectralSkewness_sma_de,pcm_fftMag_spectralKurtosis_sma_de,pcm_fftMag_spectralSlope_sma_de,pcm_fftMag_psySharpness_sma_de,pcm_fftMag_spectralHarmonicity_sma_de,mfcc_sma_de[1],mfcc_sma_de[2],mfcc_sma_de[3],mfcc_sma_de[4],mfcc_sma_de[5],mfcc_sma_de[6],mfcc_sma_de[7],mfcc_sma_de[8],mfcc_sma_de[9],mfcc_sma_de[10],mfcc_sma_de[11],mfcc_sma_de[12],mfcc_sma_de[13],mfcc_sma_de[14]
0 days 00:00:03.370000,0 days 00:00:03.430000,0.0,-2.8181372e-05,0.0,0.0,0.0,0.0,-0.051011883,-0.122355744,-0.0019416414,0.0003124997,-0.005947859,-0.028440982,-0.03665867,-0.055161692,-0.072476834,-0.108479545,-0.16816661,-0.17058843,-0.14748444,-0.19584806,-0.20834723,-0.44734877,-0.34895122,-0.26002187,-0.23238441,-0.22972918,-0.114157304,-0.12282614,-0.2099272,-0.06329054,0.0049412786,0.018465292,0.012619984,0.01066767,-0.0028337478,0.0011267603,-0.0014713786,-0.0019461712,-79.166664,-57.291668,-184.37498,-204.16667,-0.009397842,-100.57328,-0.21859996,-21409.023,1.0905503,15.630322,0.0006913544,-0.08577375,-0.0017839257,-1.3081259,4.2796297,0.8918556,1.2856222,3.362166,2.1864498,1.8683357,-4.7539587,0.7553405,1.7099361,-0.45988718,0.36105058,-0.9878909,-2.0150783
0 days 00:00:03.380000,0 days 00:00:03.440000,0.0,-2.3242912e-05,0.0,0.0,0.0,0.0,-0.02829476,-0.13551834,-0.0011396834,0.0059722206,-0.0034498484,-0.016139707,-0.022636378,-0.0453868,-0.07431139,-0.13023655,-0.18896367,-0.21058747,-0.18643102,-0.17550066,-0.14696555,-0.39236915,-0.49847612,-0.34109074,-0.27286085,-0.2654357,-0.11502428,-0.11431551,-0.25448376,-0.102505565,0.0013761104,0.0053107264,0.024353843,0.014760012,-0.0055618463,-0.0065451115,-0.0011955339,-0.00073448435,-48.958336,12.500003,59.37499,-12.500012,-0.0104631465,-8.040237,-0.09930549,31410.719,0.2942668,6.770259,0.000433464,-0.015163004,-0.00086518715,-1.4547966,1.5256082,1.0671697,2.3972282,4.621629,1.5710953,0.17013803,-2.8212056,0.17810778,0.3658892,-1.2939842,1.1528158,0.28236875,-2.0376077
0 days 00:00:03.390000,0 days 00:00:03.450000,0.0,-1.4737194e-05,0.0,0.0,0.0,0.0,-0.007041231,-0.09637703,-0.00042752744,0.010729163,0.00020540804,-0.00800595,-0.015417421,-0.035580784,-0.06696593,-0.12975071,-0.14823844,-0.17493585,-0.14937878,-0.10563652,-0.08091862,-0.2254045,-0.36873832,-0.24172287,-0.21017906,-0.21329597,-0.05578062,-0.06613848,-0.18945305,-0.07853533,0.021410376,0.010775936,0.02132206,0.0147907315,-0.0020422577,-0.00818837,-0.0007772002,0.00016770323,-18.75,45.833336,196.87498,148.95833,-0.009237522,60.613426,0.004440856,69875.734,-0.62094545,-7.0238557,0.00023302264,0.036919884,-0.0003396853,-1.2533633,-0.93024224,0.7333997,3.5599327,5.622584,0.1085815,-1.2714615,0.64339745,-0.6153797,-1.6734556,-2.455643,3.119357,2.2624137,-1.5140394
0 days 00:00:03.400000,0 days 00:00:03.460000,0.0,-2.4181134e-06,0.0,0.0,0.0,0.0,0.016769778,-0.032469153,0.0005996997,0.013854166,0.0013846249,-0.006616564,-0.009288025,-0.016916335,-0.046555456,-0.09423015,-0.087779514,-0.09912916,-0.06835225,-0.03542138,-0.02921983,-0.014271492,-0.07220645,-0.042646755,-0.09333076,-0.13681953,0.0047473786,-0.019713271,-0.082896866,-0.010640544,0.056458123,0.04020282,0.0066551687,0.010533482,0.005138159,-0.0032834976,0.0005198169,0.0018817093,29.166666,85.41667,207.29167,209.375,0.0015287839,99.42957,0.08889332,57792.5,-1.1596732,-16.58769,-0.00016753803,0.072282135,0.00022214677,-0.41837654,-2.181013,-0.8468585,1.9720093,3.148011,-4.3740244,-2.628536,4.159112,-1.3040171,-3.184081,-2.4397125,3.4299614,2.9677525,-0.7828177
0 days 00:00:03.410000,0 days 00:00:03.470000,0.0,1.4350416e-05,0.0,0.0,0.0,0.0,0.046190847,0.029104304,0.0022647488,0.014097223,0.0013840639,-0.005523473,8.20905e-05,0.009524954,-0.014397532,-0.020798588,-0.015403653,-0.009322882,0.02716034,0.010887003,0.006126034,0.17049022,0.20510368,0.15481558,0.023959363,-0.0753274,0.02600531,0.005474043,0.017589837,0.06357987,0.07998599,0.07278211,-0.002570033,0.0071408153,0.013877148,0.0040869536,0.002414721,0.0062419283,78.125,142.70834,85.41667,113.54167,0.01417922,98.57856,0.037882566,-11755.356,-0.892313,-12.203191,-0.0011585557,0.07622612,0.002439643,1.0360845,-2.613217,-2.2439175,-0.7934799,-0.082321785,-5.7341914,-1.7404343,7.7943788,0.16603112,-3.7493846,-0.17183323,0.9868623,0.8662821,0.5538305
0 days 00:00:03.420000,0 days 00:00:03.480000,0.0,3.7573707e-05,0.0,0.0,0.0,0.0,0.091016136,0.09758071,0.00473869,0.012986111,0.0006378323,-0.0037016957,0.011045346,0.039451182,0.028052527,0.09406066,0.094142675,0.106591865,0.1332483,0.055233914,0.061861914,0.3319747,0.45208365,0.39155808,0.16885254,-0.014420152,0.025887925,0.031110466,0.1377419,0.159353,0.10365099,0.084363826,0.0046937345,0.0077784597,0.021564836,0.010279608,0.0041490756,0.015344602,147.91667,301.04166,134.37503,114.58335,0.029231977,174.34383,0.14256778,-42784.043,-0.927409,-9.417079,-0.002752192,0.13772061,0.006663622,1.6942327,-5.0707965,-3.2108817,-3.8192966,-2.872476,-6.798677,-1.5850117,10.912985,-0.2092053,-3.7768226,3.3274376,-1.7994369,-1.5818017,1.6214304
0 days 00:00:03.430000,0 days 00:00:03.490000,0.0,5.787035e-05,0.0,0.0,0.0,0.0,0.12372561,0.18548861,0.006887482,0.011875002,0.00018463135,-0.0010256052,0.020021811,0.06525949,0.06896644,0.2238125,0.24076505,0.27221584,0.26534072,0.13012195,0.16847119,0.46968603,0.6819161,0.7323349,0.39204404,0.07038537,0.03282982,0.081231,0.30204764,0.29388162,0.15661024,0.0837904,0.021499794,0.01048516,0.026859492,0.012967652,0.0048380033,0.024522502,170.83333,337.5,194.79169,128.125,0.036372177,201.76823,0.1601365,-45765.562,-0.74397117,-4.1518006,-0.0045826784,0.1574392,0.012106243,1.6271408,-6.7948503,-2.852691,-5.126849,-2.412509,-4.2847953,0.5260588,10.894707,-2.6618197,-2.9710617,4.706885,-3.0833106,-2.6599495,2.4503589
0 days 00:00:03.440000,0 days 00:00:03.500000,0.0,4.2913292e-05,0.0,0.0,0.0,0.0,0.12758295,0.2756744,0.007180606,0.009444447,0.0019419745,0.0030085966,0.022094939,0.07608323,0.08072066,0.29944307,0.35665798,0.4832635,0.43987355,0.23723364,0.29776436,0.5439359,0.8025082,1.065827,0.6712971,0.18807955,0.07468116,0.16494277,0.47738296,0.4384442,0.25730976,0.0992254,0.033702724,0.012305886,0.027199065,0.012607047,0.003032946,0.02672935,143.75,206.25,192.70833,134.37502,0.034607027,159.89862,0.13905148,-20150.703,-0.557382,-3.8642526,-0.005628166,0.12404676,0.015651692,0.6460188,-7.1228347,-1.1258564,-4.67666,0.36382014,0.7496294,3.8732154,7.2196455,-6.0966177,-1.9331089,2.7982063,-2.2086644,-1.3571856,2.3851469
0 days 00:00:03.450000,0 days 00:00:03.510000,0.0,6.4331152e-06,0.0,0.0,0.0,0.0,0.105108574,0.33174518,0.00558308,0.0060763927,0.0035119124,0.006554571,0.019123698,0.07006226,0.05919121,0.26377323,0.357622,0.6743969,0.63466734,0.34427053,0.38683343,0.51412165,0.7082139,1.1710435,0.92016965,0.34040666,0.14900476,0.25788102,0.5876398,0.5307046,0.3910637,0.15524879,0.033118956,0.012555724,0.024599945,0.009594485,0.00014059823,0.020654226,93.75,-7.2916746,117.70833,103.125,0.028225493,71.60095,0.08233766,-4630.9624,-0.15652826,-2.2870502,-0.005321161,0.058277868,0.014646938,-0.3835079,-5.716161,0.63023496,-3.7745643,2.2758021,4.3899965,5.7079177,0.49588317,-8.899501,-0.19931412,-0.022247935,-1.0671539,1.1494639,2.1852577
0 days 00:00:03.460000,0 days 00:00:03.520000,0.0,-3.283495e-05,0.0,0.0,0.0,0.0,0.05825265,0.30670863,0.002577116,0.0018750041,0.0045198225,0.011375244,0.014772102,0.047934294,0.02053358,0.11527538,0.20637187,0.7152227,0.7654151,0.40438947,0.36199123,0.34638125,0.35016996,0.8318766,0.99004936,0.49999347,0.22477405,0.3223948,0.54210865,0.47723308,0.4536807,0.2132326,0.023200382,0.009883666,0.019196521,0.0024489164,-0.0024954588,0.00705192,47.916664,-138.54166,-5.2083497,45.833313,0.01573477,-6.7537355,0.011304569,-6356.2407,0.20568672,0.051934384,-0.002932225,-0.0007174492,0.008674714,-0.74101603,-3.6090622,1.9963074,-1.8932731,2.4926276,6.643059,5.4801025,-6.2048807,-8.588473,0.91510427,-1.0655725,0.6447055,2.9881828,1.5690806
